"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","tests","test_login","","","","test_example",""
"broken","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","tests","test_home","","","","test_ValidatingCartVisibility",""
"passed","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","","test_file1","","","","test_firstMethods_1",""
"broken","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","tests","test_results","","","","test_validatingCartCount",""
"passed","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","","test_file1","","","","test_SecondMethods",""
"passed","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","tests","test_datahandling","","","","test_passingDataThroughCLI",""
"broken","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","tests","test_shoppingCart","","","","test_example","
    Test to search for an iPhone on Amazon, add it to cart, and verify it appears in the shopping cart
    "
"passed","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","","test_file2","","","","test_firstMethods",""
"broken","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","tests","test_datahandling","","","","test_excelHandling",""
"broken","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","tests","test_login","","","","test_example_1",""
"broken","Tue May 12 18:45:41 UTC 2026","Tue May 12 18:45:41 UTC 2026","0","tests","test_searchResults","","","","test_verifySearchResultsDisplayed",""
"passed","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","","test_file1","","","","test_firstMethods_2",""
"broken","Tue May 12 18:45:41 UTC 2026","Tue May 12 18:45:41 UTC 2026","0","tests","test_results","","","","test_validatingCartCount_1",""
"passed","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","1","","test_file2","","","","test_SecondMethods",""
"skipped","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","","test_file1","","","","test_firstMethods_3",""
"broken","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","","test_file1","","","","test_firstMethods",""
"broken","Tue May 12 18:45:40 UTC 2026","Tue May 12 18:45:40 UTC 2026","0","tests","test_home","","","","test_valiatingTheUIOfHomeScreen",""
